iters,train_acc,test_acc
507,0.9884,0.9795
508,0.9884,0.9796
509,0.9884,0.9795
510,0.9884,0.9796
511,0.9883,0.9795
512,0.9884,0.9798
513,0.9884,0.9799
514,0.9886,0.9799
515,0.9884,0.9799
516,0.9883,0.9795
517,0.9883,0.9791
518,0.9883,0.9801
519,0.9885,0.9795
520,0.9884,0.9788
521,0.9884,0.9797
522,0.9884,0.9797
523,0.9884,0.9797
524,0.9886,0.9798
525,0.9885,0.9798
526,0.9884,0.9797
527,0.9884,0.9799
528,0.9883,0.9798
529,0.9885,0.9797
530,0.9885,0.9798
531,0.9886,0.9797
532,0.9886,0.979
533,0.9884,0.9796
534,0.9886,0.9797
535,0.9883,0.9797
536,0.9884,0.9794
537,0.9886,0.9795
538,0.9886,0.9796
539,0.9884,0.9796
540,0.9886,0.9796
541,0.9883,0.9801
542,0.9884,0.9795
543,0.9884,0.9795
544,0.9884,0.9793
545,0.9884,0.9793
546,0.9885,0.9797
547,0.9886,0.9799
548,0.9885,0.9796
549,0.9885,0.9804
550,0.9886,0.9795
551,0.9882,0.9797
552,0.9884,0.9802
553,0.9885,0.9796
554,0.9886,0.9805
555,0.9884,0.9794
556,0.9885,0.9801
557,0.9884,0.98
558,0.9885,0.9797
559,0.9886,0.9792
560,0.9886,0.9799
561,0.9886,0.9794
562,0.9885,0.9802
563,0.9885,0.98
564,0.9886,0.9798
565,0.9886,0.9795
566,0.9887,0.9794
567,0.9884,0.9803
568,0.9885,0.98
569,0.9886,0.9797
570,0.9885,0.9801
571,0.9886,0.9802
572,0.9886,0.9792
573,0.9886,0.9794
574,0.9885,0.9802
575,0.9887,0.9798
576,0.9884,0.9806
577,0.9885,0.9796
578,0.9884,0.9799
579,0.9884,0.9799
580,0.9886,0.9795
581,0.9886,0.9789
582,0.9886,0.98
583,0.9886,0.9792
584,0.9885,0.9801
585,0.9886,0.9798
586,0.9885,0.9804
587,0.9885,0.9795
588,0.9886,0.9799
589,0.9887,0.9796
590,0.9884,0.9802
591,0.9884,0.9802
592,0.9885,0.9802
593,0.9886,0.98
594,0.9887,0.9795
595,0.9885,0.98
596,0.9884,0.9798
597,0.9886,0.9804
598,0.9886,0.9802
599,0.9886,0.9799
600,0.9887,0.9797
601,0.9885,0.9799
602,0.9885,0.9799
603,0.9885,0.9803
604,0.9885,0.9795
605,0.9884,0.9794
606,0.9886,0.98
607,0.9886,0.9797
608,0.9885,0.9802
609,0.9886,0.9799
610,0.9885,0.9802
611,0.9886,0.9804
612,0.9885,0.9804
613,0.9886,0.9802
614,0.9885,0.9797
615,0.9886,0.9797
616,0.9887,0.9799
617,0.9886,0.98
618,0.9887,0.9801
619,0.9886,0.9798
620,0.9885,0.9804
621,0.9883,0.9796
622,0.9886,0.98
623,0.9886,0.9802
624,0.9885,0.9797
625,0.9886,0.9799
626,0.9886,0.9795
627,0.9885,0.9799
628,0.9886,0.9798
629,0.9886,0.9801
630,0.9886,0.9803
631,0.9885,0.9803
632,0.9886,0.9804
633,0.9885,0.9803
634,0.9882,0.98
635,0.9886,0.9805
636,0.9885,0.9804
637,0.9884,0.9802
638,0.9885,0.98
639,0.9886,0.98
640,0.9885,0.9801
641,0.9884,0.9803
642,0.9888,0.9791
643,0.9886,0.9801
644,0.9885,0.9801
645,0.9885,0.9798
646,0.9887,0.9801
647,0.9884,0.9803
648,0.9885,0.9796
649,0.9886,0.9798
650,0.9884,0.9799
651,0.9886,0.98
652,0.9884,0.98
653,0.9886,0.9799
654,0.9885,0.9801
655,0.9886,0.9795
656,0.9885,0.9799
657,0.9886,0.98
658,0.9887,0.98
659,0.9886,0.9803
660,0.9887,0.98
661,0.9886,0.98
662,0.9884,0.9802
663,0.9884,0.98
664,0.9887,0.98
665,0.9886,0.9802
666,0.9886,0.9798
667,0.9887,0.9796
668,0.9888,0.9802
669,0.9889,0.9798
670,0.9885,0.98
671,0.9886,0.9804
672,0.9884,0.9802
673,0.9886,0.9801
674,0.9886,0.98
675,0.9886,0.98
676,0.9886,0.9798
677,0.9888,0.9796
678,0.9886,0.9801
679,0.9886,0.9799
680,0.9884,0.9804
681,0.9886,0.9798
682,0.9886,0.9802
683,0.9886,0.9794
684,0.9886,0.9802
685,0.9886,0.9805
686,0.9886,0.9806
687,0.9885,0.98
688,0.9885,0.9797
689,0.9885,0.9806
690,0.9886,0.9795
691,0.9884,0.9801
692,0.9886,0.9791
693,0.9885,0.98
694,0.9887,0.98
695,0.9886,0.9799
696,0.9886,0.9804
697,0.9886,0.9803
698,0.9886,0.9795
699,0.9887,0.9801
700,0.9884,0.9802
701,0.9885,0.9801
702,0.9886,0.9797
703,0.9886,0.9796
704,0.9885,0.9799
705,0.9887,0.9798
706,0.9886,0.9802
707,0.9887,0.9798
708,0.9886,0.9803
709,0.9885,0.98
710,0.9885,0.9801
711,0.9887,0.9801
712,0.9885,0.9802
713,0.9884,0.9802
714,0.9887,0.9796
715,0.9887,0.9803
716,0.9886,0.9799
717,0.9885,0.98
718,0.9885,0.9798
719,0.9886,0.9798
720,0.9887,0.9801
721,0.9886,0.9801
722,0.9886,0.9801
723,0.9886,0.9803
724,0.9887,0.9802
725,0.9886,0.9801
726,0.9888,0.98
727,0.9886,0.9801
728,0.9886,0.9802
729,0.9887,0.9799
730,0.9884,0.9802
731,0.9886,0.9799
732,0.9885,0.9799
733,0.9886,0.9796
734,0.9887,0.9802
735,0.9886,0.9799
736,0.9886,0.9795
737,0.9887,0.9799
738,0.9887,0.9799
739,0.9888,0.9801
740,0.9887,0.98
741,0.9887,0.9801
742,0.9887,0.9799
743,0.9884,0.98
744,0.9886,0.9799
